NOME,CATEGORIA,GRUPO,ESFERA,CRIAÇÃO,ATO LEGAL,ULTIMA ATUALIZAÇÃO,CODUC,ÓRGÃO GESTOR
PARQUE ESTADUAL DA SERRA DE CALDAS NOVAS,Parque,PI,estadual,"1970",Lei ordinária nº 7.282 de 09/10/1970,22/05/2009,0000.52.1738,Secretaria Estadual do Meio Ambiente e dos Recursos Hídricos de Goiás
PARQUE NATURAL MUNICIPAL TRêS COQUEIROS,Parque,PI,municipal,"2009",Decreto nº 424 de 21/11/2009,10/05/2010,0430.33.1883,Secretaria Municipal de Meio Ambiente de Rio Bonito - RJ
RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL PIAGAÇU PURUS,Reserva de Desenvolvimento Sustentável,US,estadual,"2003",Decreto nº 23723 de 08/09/2003,25/02/2016,0000.13.0987,Secretaria de Estado do Meio Ambiente do Amazonas
PARQUE NACIONAL DOS LENÇOIS MARANHENSES,Parque,PI,federal,"1981",Decreto nº 86060 de 02/06/1981,29/11/2007,0000.00.0180,Instituto Chico Mendes de Conservação da Biodiversidade
RESERVA DE DESENVOLVIMENTO SUSTENTáVEL  ITATUPã-BAQUIá,Reserva de Desenvolvimento Sustentável,US,federal,"2005",Decreto nº S/N de 15/06/2005,12/02/2016,0000.00.0218,Instituto Chico Mendes de Conservação da Biodiversidade
FLORESTA NACIONAL DE TEFÉ,Floresta,US,federal,"1989",Decreto nº Decreto n° 97.629 de 10/04/1989,25/09/2007,0000.00.0112,Instituto Chico Mendes de Conservação da Biodiversidade
ESTAÇÃO ECOLÓGICA DE CUNIÃ,Estação Ecológica,PI,federal,"2001",Decreto nº S/Nº de 28/09/2001,27/04/2011,0000.00.0053,Instituto Chico Mendes de Conservação da Biodiversidade
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BOA VISTA E PHAROL,Reserva Particular do Patrimônio Natural,US,estadual,"2009",Portaria nº 54 de 08/07/2009,11/10/2011,0000.33.2297,Instituto Estadual do Ambiente do Rio de Janeiro
PARQUE NATURAL MUNICIPAL DOS JATOBáS,Parque,PI,municipal,"2011",Decreto nº 17.355/11 de 18/06/2011,20/07/2012,0950.35.2631,Secretaria Municipal de Meio Ambiente - Prefeitura Municipal de Campinas
ARIE DA VILA ESTRUTURAL,Área de Relevante Interesse Ecológico,US,estadual,"2007",Decreto nº 28.081 de 02/07/2007,18/08/2017,0000.53.1651,Instituto do Meio Ambiente e dos Recursos Hídricos do Distrito Federal - Brasília Ambiental - DF
FLORESTA NACIONAL DE CAPÃO BONITO,Floresta,US,federal,"1968",Portaria nº 558 de 25/10/1968,24/09/2007,0000.00.0079,Instituto Chico Mendes de Conservação da Biodiversidade
PARQUE ESTADUAL MATA DO PAU FERRO,Parque,PI,estadual,"2005",Decreto nº 26098 de 05/08/2005,31/03/2014,0000.25.0901,Superintendência de Administração do Meio Ambiente da Paraíba
ESTAÇÃO ECOLÓGICA DE ÁGUA LIMPA,Estação Ecológica,PI,estadual,"1994",Decreto nº 36072 de 28/09/1994,03/09/2009,0000.31.0383,Instituto Estadual de Florestas de Minas Gerais
ESTAÇÃO ECOLÓGICA TUPINAMBÁS,Estação Ecológica,PI,federal,"1987",Decreto nº 94656 de 20/07/1987,13/12/2017,0000.00.0064,Instituto Chico Mendes de Conservação da Biodiversidade
PARQUE NATURAL MUNICIPAL FREYMUND GERMER,Parque,PI,municipal,"2011",Lei complementar nº 402 de 13/07/2011,31/10/2011,1820.42.2340,Prefeitura Municipal de Timbó - SC
ÁREA DE PROTEÇÃO AMBIENTAL DO ARQUIPÉLAGO DO MARAJÓ,Área de Proteção Ambiental,US,estadual,"1989",Constituição nº Art.13 §2º de 05/10/1989,21/09/2016,0000.15.1023,Instituto de Desenvolvimento Florestal e da Biodiversidade do Pará
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL VOVÓ DINDINHA,Reserva Particular do Patrimônio Natural,US,estadual,"2010",Outros nº 75-S de 22/02/2010,03/09/2012,0000.32.2351,Instituto Estadual de Meio Ambiente e Recursos Hídricos do Espírito Santo
MONUMENTO NATURAL MUNICIPAL FALéSIAS DE MARATAíZES,Monumento Natural,PI,municipal,"2008",Decreto nº DECRETO-E Nº. 193/2008 de 02/12/2008,24/07/2013,0332.32.2879,Secretaria Municipal de Meio Ambiente de Marataízes - ES
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BARRO BRANCO,Reserva Particular do Patrimônio Natural,US,estadual,"2016",Portaria nº 001- R de 28/01/2016,11/11/2016,0000.32.3452,Instituto Estadual de Meio Ambiente e Recursos Hídricos do Espírito Santo
PARQUE NACIONAL DO JAÚ,Parque,PI,federal,"1980",Decreto nº 85200 de 24/09/1980,11/02/2016,0000.00.0173,Instituto Chico Mendes de Conservação da Biodiversidade
FLORESTA ESTADUAL DE ASSIS,Floresta,US,estadual,"2002",Decreto nº 47.098 de 19/09/2002,10/10/2017,0000.35.2937,Instituto Florestal da Secretaria do Meio Ambiente do Estado de São Paulo - SP
PARQUE ESTADUAL SETE SALÕES,Parque,PI,estadual,"1998",Decreto nº 39908 de 23/09/1998,22/10/2012,0000.31.0403,Instituto Estadual de Florestas de Minas Gerais
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA SÃO GERALDO,Reserva Particular do Patrimônio Natural,US,estadual,"1999",Deliberação nº 003 de 21/05/1999,24/10/2012,0000.50.2772,Instituto de Meio Ambiente do Mato Grosso do Sul
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA TERRAVISTA I,Reserva Particular do Patrimônio Natural,US,federal,"2009",Portaria nº 27 de 18/05/2009,26/08/2011,0000.00.2190,Instituto Chico Mendes de Conservação da Biodiversidade
RESERVA EXTRATIVISTA TAPAJÓS ARAPIUNS,Reserva Extrativista,US,federal,"1998",Decreto nº S/N de 09/11/1998,01/02/2016,0000.00.0259,Instituto Chico Mendes de Conservação da Biodiversidade
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MATO DA ONÇA,Reserva Particular do Patrimônio Natural,US,estadual,"2015",Portaria nº 48/2015 de 21/10/2015,08/11/2017,0000.27.3462,Instituto do Meio Ambiente de Alagoas
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL EMILIO FIORENTINO BATTISTELLA,Reserva Particular do Patrimônio Natural,US,federal,"2002",Portaria nº 53 de 19/04/2002,26/08/2011,0000.00.1081,Instituto Chico Mendes de Conservação da Biodiversidade
ÁREA DE PROTEÇÃO AMBIENTAL DE PETRÓPOLIS,Área de Proteção Ambiental,US,federal,"1982",Decreto nº 87561 de 14/09/1982,12/04/2010,0000.00.0010,Instituto Chico Mendes de Conservação da Biodiversidade
RESERVA BIOLÓGICA AUGUSTO RUSCHI,Reserva Biológica,PI,federal,"1982",Decreto nº 87589 de 20/09/1982,27/12/2011,0000.00.0191,Instituto Chico Mendes de Conservação da Biodiversidade
RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL BARARATI,Reserva de Desenvolvimento Sustentável,US,estadual,"2005",Decreto nº 24.813 de 25/01/2005,15/02/2016,0000.13.0983,Secretaria de Estado do Meio Ambiente do Amazonas
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA MARIA VICENTINI LOPES,Reserva Particular do Patrimônio Natural,US,federal,"2008",Portaria nº 69 de 10/09/2008,26/08/2011,0000.00.2182,Instituto Chico Mendes de Conservação da Biodiversidade
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL DOURADINHO,Reserva Particular do Patrimônio Natural,US,estadual,"2003",Deliberação nº 005 de 25/07/2003,24/10/2012,0000.50.2759,Instituto de Meio Ambiente do Mato Grosso do Sul
RESERVA BIOLÓGICA CULUENE,Reserva Biológica,PI,estadual,"1989",Decreto nº 1.387 de 10/01/1989,27/01/2016,0000.51.0457,Secretaria de Estado do Meio Ambiente de Mato Grosso
ÁREA DE PROTEÇÃO AMBIENTAL DAS DUNAS DA LAGOINHA,Área de Proteção Ambiental,US,estadual,"1999",Decreto nº 25.417 de 31/03/1999,15/02/2016,0000.23.0958,Secretaria do Meio Ambiente do Ceará
