NOMEUC,CODUC,PROCESSO,EMPREENDIMENTO,EMPREENDEDOR,DESTINACAO,APLICACAO,ACAODEST,ACAOAPL,REUNIAO,TIPO,ANO
REFúGIO DE VIDA SILVESTRE METRóPOLE DA AMAZôNIA,0000.15.1881,02001.002029/2014-55,Projeto Ferro Carajás S11D,VALE S.A.,"0","200000",,Regularização,"48",O,"2016"
PARQUE NACIONAL DA CHAPADA DOS GUIMARÃES,0000.00.0138,02001.000955/2013-13,LINHA DE TRANSMISSÃO ITUMBIARA CUIABÁ,ITUMBIARA TRANSMISSORA DE ENERGIA S.A.,"0","150000",,Manejo,"48",O,"2016"
REFúGIO DE VIDA SILVESTRE METRóPOLE DA AMAZôNIA,0000.15.1881,02001.002029/2014-55,Projeto Ferro Carajás S11D,VALE S.A.,"0","150000",,Aquisição,"48",O,"2016"
PARQUE NACIONAL RESTINGA DE JURUBATIBA,0000.00.0141,02001.001091/2016-91,ATIVID PROD E ESCOAM PETRÓ E GÁS POLO PRÉ-SAL B.SANTOS ETAPA 2 FPSO MARICÁ - LULA ALTO,PETROBRAS,"0","100000",,Aquisição,"48",O,"2016"
MONUMENTO NATURAL DAS ILHAS CAGARRAS,0000.00.0034,02001.004292/2015-60,"Etapa 2: FPSO Cidade de Itaguaí, Desenvolvimento de Produção no Campo de Lula, Área de Iracema Norte",PETROBRAS,"400000","0",Pesquisa,,"48",O,"2016"
MONUMENTO NATURAL DAS ILHAS CAGARRAS,0000.00.0034,02001.004292/2015-60,"Etapa 2: FPSO Cidade de Itaguaí, Desenvolvimento de Produção no Campo de Lula, Área de Iracema Norte",PETROBRAS,"1000000","0",Manejo,,"48",O,"2016"
ESTAÇÃO ECOLÓGICA DE GUARAQUEÇABA,0000.00.0054,02001.004292/2015-60,"Etapa 2: FPSO Cidade de Itaguaí, Desenvolvimento de Produção no Campo de Lula, Área de Iracema Norte",PETROBRAS,"1200000","0",Manejo,,"48",O,"2016"
ESTAÇÃO ECOLÓGICA DE GUARAQUEÇABA,0000.00.0054,02001.004292/2015-60,"Etapa 2: FPSO Cidade de Itaguaí, Desenvolvimento de Produção no Campo de Lula, Área de Iracema Norte",PETROBRAS,"400000","0",Pesquisa,,"48",O,"2016"
ESTAÇÃO ECOLÓGICA DE MARACÁ JIPIOCA,0000.00.0058,02001.001091/2016-91,ATIVID PROD E ESCOAM PETRÓ E GÁS POLO PRÉ-SAL B.SANTOS ETAPA 2 FPSO MARICÁ - LULA ALTO,PETROBRAS,"700000","0",Aquisição,,"48",O,"2016"
ESTAÇÃO ECOLÓGICA DE TAMOIOS,0000.00.0063,02001.004292/2015-60,"Etapa 2: FPSO Cidade de Itaguaí, Desenvolvimento de Produção no Campo de Lula, Área de Iracema Norte",PETROBRAS,"1200000","0",Manejo,,"48",O,"2016"
ESTAÇÃO ECOLÓGICA DE TAMOIOS,0000.00.0063,02001.004292/2015-60,"Etapa 2: FPSO Cidade de Itaguaí, Desenvolvimento de Produção no Campo de Lula, Área de Iracema Norte",PETROBRAS,"400000","0",Pesquisa,,"48",O,"2016"
ESTAÇÃO ECOLÓGICA TUPINAMBÁS,0000.00.0064,02001.004292/2015-60,"Etapa 2: FPSO Cidade de Itaguaí, Desenvolvimento de Produção no Campo de Lula, Área de Iracema Norte",PETROBRAS,"1200000","0",Manejo,,"48",O,"2016"
ESTAÇÃO ECOLÓGICA TUPINAMBÁS,0000.00.0064,02001.004292/2015-60,"Etapa 2: FPSO Cidade de Itaguaí, Desenvolvimento de Produção no Campo de Lula, Área de Iracema Norte",PETROBRAS,"400000","0",Pesquisa,,"48",O,"2016"
ESTAÇÃO ECOLÓGICA DO TAIM,0000.00.0070,02001.001091/2016-91,ATIVID PROD E ESCOAM PETRÓ E GÁS POLO PRÉ-SAL B.SANTOS ETAPA 2 FPSO MARICÁ - LULA ALTO,PETROBRAS,"250000","0",Aquisição,,"48",O,"2016"
ESTAÇÃO ECOLÓGICA DO TAIM,0000.00.0070,02001.001092/2016-36,ATIVID PROD E ESCOAMENTO PETRÓ E GÁS POLO PRÉ-SAL B.SANTOS-ETAPA 2 FPSO SAQUAREMA-LULA CENTRAL,PETROBRAS,"2000000","0",Regularização,,"48",O,"2016"
ESTAÇÃO ECOLÓGICA DOS TUPINIQUINS,0000.00.0071,02001.004292/2015-60,"Etapa 2: FPSO Cidade de Itaguaí, Desenvolvimento de Produção no Campo de Lula, Área de Iracema Norte",PETROBRAS,"1200000","0",Manejo,,"48",O,"2016"
